"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 14 19:28:23 UTC 2020","Mon Sep 14 19:28:40 UTC 2020","17627","","Проверка отправки сообщения 5","","Проверка отправки сообщения 5","[ЧС] C1234581 Создаем письмо","[ЧС] C1234581 Создаем письмо",""
"passed","Mon Sep 14 19:28:25 UTC 2020","Mon Sep 14 19:28:43 UTC 2020","17561","","Проверка отправки сообщения","","Проверка отправки сообщения","[ЧС] C1234577 Создаем письмо","[ЧС] C1234577 Создаем письмо",""
"passed","Mon Sep 14 19:28:09 UTC 2020","Mon Sep 14 19:28:25 UTC 2020","16175","","Проверка отправки сообщения 4","","Проверка отправки сообщения 4","[ЧС] C1234580 Проходим авторизацию","[ЧС] C1234580 Проходим авторизацию",""
"passed","Mon Sep 14 19:28:23 UTC 2020","Mon Sep 14 19:28:40 UTC 2020","16980","","Проверка отправки сообщения 3","","Проверка отправки сообщения 3","[ЧС] C1234579 Создаем письмо","[ЧС] C1234579 Создаем письмо",""
"passed","Mon Sep 14 19:28:09 UTC 2020","Mon Sep 14 19:28:24 UTC 2020","15689","","Проверка отправки сообщения 2","","Проверка отправки сообщения 2","[ЧС] C1234578 Проходим авторизацию","[ЧС] C1234578 Проходим авторизацию",""
"passed","Mon Sep 14 19:28:24 UTC 2020","Mon Sep 14 19:28:42 UTC 2020","17578","","Проверка отправки сообщения 2","","Проверка отправки сообщения 2","[ЧС] C1234578 Создаем письмо","[ЧС] C1234578 Создаем письмо",""
"passed","Mon Sep 14 19:28:06 UTC 2020","Mon Sep 14 19:28:23 UTC 2020","16156","","Проверка отправки сообщения 3","","Проверка отправки сообщения 3","[ЧС] C1234579 Проходим авторизацию","[ЧС] C1234579 Проходим авторизацию",""
"passed","Mon Sep 14 19:28:09 UTC 2020","Mon Sep 14 19:28:25 UTC 2020","15759","","Проверка отправки сообщения","","Проверка отправки сообщения","[ЧС] C1234577 Проходим авторизацию","[ЧС] C1234577 Проходим авторизацию",""
"passed","Mon Sep 14 19:28:08 UTC 2020","Mon Sep 14 19:28:23 UTC 2020","14278","","Проверка отправки сообщения 5","","Проверка отправки сообщения 5","[ЧС] C1234581 Проходим авторизацию","[ЧС] C1234581 Проходим авторизацию",""
"passed","Mon Sep 14 19:28:25 UTC 2020","Mon Sep 14 19:28:43 UTC 2020","17827","","Проверка отправки сообщения 4","","Проверка отправки сообщения 4","[ЧС] C1234580 Создаем письмо","[ЧС] C1234580 Создаем письмо",""
